Name,Formula,Exact_Mass_Calc,F_Count,Is_PFAS,PFAS_Structure_Class,Structure_Class,Use_Category,CAS_or_Identifier,SMILES
(R/S)bicalutamide-G,C18H14F4N2O4S,430.0610408,4,Yes,Other PFAS,Aromatic,Unknown,113299-40-4,C[C@](CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
Celecoxib,C17H14F3N3O2S,381.0758823,3,Yes,Sulfonamide,Aromatic,Unknown,169590-42-5,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
Hydroxycelecoxib,C17H14F3N3O3S,397.070797,3,Yes,Sulfonamide,Aromatic,Metabolite,170571-00-3,C1=CC(=CC=C1CO)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
Celecoxib Carboxylic Acid,C17H12F3N3O4S,411.0500615,3,Yes,Sulfonamide,Aromatic,Industrial Intermediate,170571-01-4,C1=CC(=CC=C1C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F)C(=O)O
Celecoxib glucuronide,C23H20F3N3O10S,587.0821495,3,Yes,Ether acid (PFECA),Aromatic,Metabolite,264236-79-5,C1=CC(=CC=C1C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F)C(=O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O
Flecainide,C17H20F6N2O3,414.1378118,6,Yes,Other PFAS,Aromatic,Unknown,54143-55-4,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
meta-O-dealkylated flecainide,C15H19F3N2O3,332.1347771,3,Yes,Other PFAS,Aromatic,Unknown,83526-33-4,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)O)OCC(F)(F)F
meta-O-dealkylated lactam,C15H17F3N2O4,346.1140417,3,Yes,Other PFAS,Aromatic,Unknown,91933-52-7,C1CC(NC(=O)C1)CNC(=O)C2=C(C=CC(=C2)O)OCC(F)(F)F
Sitagliptin,C16H15F6N5O,407.1180794,6,Yes,Other PFAS,Aromatic,Unknown,486460-32-6,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N
Sitagliptin N-sulfate,C16H15F6N5O4S,487.0748943,6,Yes,Sulfonamide,Aromatic,Unknown,940002-57-3,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)NS(=O)(=O)O
(-)-Sitagliptin carbamoyl glucuronide,C23H23F6N5O9,627.1399966,6,Yes,Ether acid (PFECA),Aromatic,Metabolite,940002-59-5,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)NC(=O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O
Betamethasone,C22H29FO5,392.1999022,1,No,Not PFAS,Other,Unknown,378-44-9,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
Dexamethasone,C22H29FO5,392.1999022,1,No,Not PFAS,Other,Unknown,1950/2/2,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
Fluprednidene,C22H27FO5,390.1842522,1,No,Not PFAS,Other,Unknown,2193-87-5,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1CC(=C)[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@@]43C)F)O
11-dehydrodexamethasone,C22H27FO5,390.1842522,1,No,Not PFAS,Other,Unknown,2964-81-0,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3(C(=O)C[C@@]2([C@]1(C(=O)CO)O)C)F)C
6 alpha-Hydroxydexamethasone,C22H27FO5,390.1842522,1,No,Not PFAS,Other,Metabolite,2964-81-0,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3(C(=O)C[C@@]2([C@]1(C(=O)CO)O)C)F)C
6 beta-Hydroxydexamethasone,C22H29FO6,408.1948169,1,No,Not PFAS,Other,Metabolite,111897-35-9,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C)O
Eflornithine,C6H12F2N2O2,182.0866841,2,Yes,Other PFAS,Other,Unknown,70052-12-9,C(CC(C(F)F)(C(=O)O)N)CN
Fluconazole,C13H12F2N6O,306.1040654,2,No,Not PFAS,Aromatic,Unknown,86386-73-4,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
Fluconazole N-oxide,C13H12F2N6O2,322.0989801,2,No,Not PFAS,Aromatic,Unknown,1997296-62-4,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=[N+](C=N3)[O-])O
alpha-fluoro-beta-alanine,C3H6FNO2,107.0382567,1,No,Not PFAS,Other,Fluorochemical / Surfactant,3821-81-6,C(C(C(=O)O)F)N
Fluvastatin,C24H26FNO4,411.1845865,1,No,Not PFAS,Aromatic,Pharmaceutical,93957-54-1,CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@@H](C[C@@H](CC(=O)O)O)O)C3=CC=C(C=C3)F
N-desisopropyl fluvastatin,C24H28FNO4,413.2002366,1,No,Not PFAS,Aromatic,Pharmaceutical,CID:5287418,CC(C)N1C2=CC=CC=C2C(=C1CC[C@H](C[C@H](CC(=O)O)O)O)C3=CC=C(C=C3)F
5/6-hydroxy fluvastatin/5/6-OH-fluvastatin,C22H24FNO6,417.1587657,1,No,Not PFAS,Aromatic,Pharmaceutical,Unknown,CC(C=C(C(=O)O)C1=CC=C(C=C1F)O)C[C@H](O)CN(C)C2=CC=CC=C2C(=O)O
flunisolide,C24H31FO6,434.2104669,1,No,Not PFAS,Heterocycle,Unknown,3385/3/3,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@]35C)F)O
dexamethasone acetate,C24H31FO6,434.2104669,1,No,Not PFAS,Other,Unknown,1177-87-3,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)O)C)O)F)C
betamethasone acetate,C24H31FO6,434.2104669,1,No,Not PFAS,Other,Unknown,987-24-6,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)O)C)O)F)C
Triamcinolone acetonide,C24H31FO6,434.2104669,1,No,Not PFAS,Heterocycle,Pharmaceutical,76-25-5,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)CCC5=CC(=O)C=C[C@@]53C)F)O
Fulvestrant,C32H47F5O3S,606.3166075,5,Yes,Other PFAS,Aromatic,Unknown,129453-61-8,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F
Ciprofloxacin,C17H18FN3O3,331.1332197,1,No,Not PFAS,Aromatic,Unknown,85721-33-1,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
Sulfociprofloxacin,C17H18FN3O6S,411.0900345,1,No,Not PFAS,Aromatic,Unknown,105093-21-8,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)S(=O)(=O)O)F)C(=O)O
Formylciprofloxacin,C18H18FN3O4,359.1281343,1,No,Not PFAS,Aromatic,Unknown,93594-39-9,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)C=O)F)C(=O)O
oxociprofloxacin,C17H16FN3O4,345.1124842,1,No,Not PFAS,Aromatic,Unknown,103237-52-1,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNC(=O)C4)F)C(=O)O
Desethylene ciprofloxacin,C15H16FN3O3,305.1175696,1,No,Not PFAS,Aromatic,Unknown,103222-12-4,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)NCCN)F)C(=O)O
Enoxacin,C15H17FN4O3,320.1284686,1,No,Not PFAS,Aromatic,Unknown,74011-58-8,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O
4-oxo-enoxacin,C15H15FN4O4,334.1077332,1,No,Not PFAS,Aromatic,Unknown,87939-12-6,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNC(=O)C3)F)C(=O)O
Flucytosine,C4H4FN3O,129.03384,1,No,Not PFAS,Aromatic,Unknown,2022-85-7,C1=NC(=O)NC(=C1F)N
Flufenamic acid,C14H10F3NO2,281.0663632,3,Yes,Other PFAS,Aromatic,Industrial Intermediate,530-78-9,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F
flubendazole,C16H12FN3O3,313.0862695,1,No,Not PFAS,Aromatic,Unknown,31430-15-6,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=C(C=C3)F
Flunitrazepam,C16H12FN3O3,313.0862695,1,No,Not PFAS,Aromatic,Unknown,1622-62-4,CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F
Fluphenazine,C22H26F3N3OS,437.1748681,3,Yes,Other PFAS,Aromatic,Unknown,69-23-8,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO
Fluphenazine sulfoxide,C22H26F3N3O2S,453.1697827,3,Yes,Other PFAS,Aromatic,Metabolite,1674-76-6,C1CN(CCN1CCCN2C3=CC=CC=C3[S@](=O)C4=C2C=C(C=C4)C(F)(F)F)CCO
Flurazepam,C21H23ClFN3O,387.1513683,1,No,Not PFAS,Aromatic,Unknown,17617-23-1,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F
Hydroxyethylflurazepam,C21H23ClFN3O2,403.1462829,1,No,Not PFAS,Aromatic,Metabolite,67263-28-9,CCN(CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F)CCO
Norflurazepam,C15H10ClFN2O,288.0465688,1,No,Not PFAS,Aromatic,Unknown,2886-65-9,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3F
dexlansoprazole,C16H14F3N3O2S,369.0758823,3,Yes,Other PFAS,Aromatic,Unknown,138530-94-6,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F
Lansoprazole,C16H14F3N3O2S,369.0758823,3,Yes,Other PFAS,Aromatic,Unknown,103577-45-3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F
Lansoprazole sulfone,C16H14F3N3O3S,385.070797,3,Yes,Other PFAS,Aromatic,Unknown,131926-99-3,CC1=C(C=CN=C1CS(=O)(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F
Hydroxylansoprazole,C16H14F3N3O3S,385.070797,3,Yes,Other PFAS,Aromatic,Metabolite,131926-98-2,CC1=C(C=CN=C1CS(=O)C2=NC3=C(N2)C=C(C=C3)O)OCC(F)(F)F
teriflunomide,C12H9F3N2O2,270.0616122,3,Yes,Other PFAS,Aromatic,Unknown,163451-81-8,C/C(=C(\C#N)/C(=O)NC1=CC=C(C=C1)C(F)(F)F)/O
Leflunomide,C12H9F3N2O2,270.0616122,3,Yes,Other PFAS,Aromatic,Unknown,75706-12-6,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F
Midazolam,C18H13ClFN3,325.0782033,1,No,Not PFAS,Aromatic,Unknown,59467-70-8,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F
1/4-hydroxymidazolam,C18H13ClFN3O,341.0731179,1,No,Not PFAS,Aromatic,Metabolite,59468-90-5,C1C2=CN=C(N2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4F)CO
4-hydroxymidazolam glucuronide,C24H21ClFN3O7,517.1052059,1,No,Not PFAS,Aromatic,Metabolite,81256-82-8,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)C5=CC=CC=C5F
cinolazepam,C18H13ClFN3O2,357.0680326,1,No,Not PFAS,Aromatic,Unknown,75696-02-5,C1=CC=C(C(=C1)C2=NC(C(=O)N(C3=C2C=C(C=C3)Cl)CCC#N)O)F
1 4-dihydroxymidazolam,C18H13ClFN3O2,357.0680326,1,No,Not PFAS,Aromatic,Metabolite,64740-68-7,C1=CC=C(C(=C1)C2=NC(C3=CN=C(N3C4=C2C=C(C=C4)Cl)CO)O)F
Pantoprazole,C21H23N3O5,383.0751334,2,Yes,Other PFAS,Aromatic,Unknown,102625-70-7,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC
pantoprazole sulfide,C16H15F2N3O4S,367.0802188,2,Yes,Other PFAS,Aromatic,Unknown,102625-64-9,COC1=C(C(=NC=C1)CSC2=NC3=C(N2)C=C(C=C3)OC(F)F)OC
O-Desmethyl Pantoprazole O-Sulfate,C16H15F2N3O3S,449.0162982,2,Yes,Other PFAS,Aromatic,Unknown,1189856-53-8,COC1=C(C=CN=C1CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OS(=O)(=O)O
pantoprazole sulfone,C15H13F2N3O7S2,399.070048,2,Yes,Other PFAS,Aromatic,Unknown,127780-16-9,COC1=C(C(=NC=C1)CS(=O)(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC
Sulindac,C16H15F2N3O5S,356.0882436,1,No,Not PFAS,Aromatic,Unknown,38194-50-2,CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O
Flutamide,C20H17FO3S,276.0721769,3,Yes,Other PFAS,Aromatic,Unknown,13311-84-7,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F
Haloperidol,C11H11F3N2O3,375.1401349,1,No,Not PFAS,Aromatic,Polymer / Additive,52-86-8,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
Reduced haloperidol,C21H23ClFNO2,377.1557849,1,No,Not PFAS,Aromatic,Polymer / Additive,34104-67-1,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(C3=CC=C(C=C3)F)O
Haloperidol pyridinium ion derivative (HPP+),C21H25ClFNO2,298.1839784,1,No,Not PFAS,Aromatic,Polymer / Additive,Unknown,CC(CN1CCC(CC1)C2=CC=C(C=C2)F)C3=CC=[N+](C=C3)
Haloperidol glucuronide,C19H23FN2+,551.1722229,1,No,Not PFAS,Aromatic,Metabolite,100442-88-4,C1CN(CCC1(C2=CC=C(C=C2)Cl)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)CCCC(=O)C4=CC=C(C=C4)F
Haloperidol 1 2 3 6-tetrahydropyridine,C27H31ClFNO8,357.1295702,1,No,Not PFAS,Aromatic,Polymer / Additive,52669-92-8,C1CN(CC=C1C2=CC=C(C=C2)Cl)CCCC(=O)C3=CC=C(C=C3)F
fluorobenzoylpropionic acid,C21H21ClFNO,214.0441506,2,No,Not PFAS,Aromatic,Industrial Intermediate,84313-94-0,C1=CC(=C(C=C1C(=O)CCC(=O)O)F)F
p-Fluorobenzoylpropionic acid and 4-(4-chlorophenyl)-4-hydroxypiperidine,C10H8F2O3,196.0535724,1,No,Not PFAS,Aromatic,Metabolite,CID:22322565,CC(C(=O)O)C(=O)C1=CC=C(C=C1)F
Mefloquine,C10H9FO3,378.1166825,6,Yes,Other PFAS,Aromatic,Unknown,53230-10-7,C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O
2 8-bis-trifluoromethyl-4-quinoline carboxylic acid,C17H16F6N2O,309.0224477,6,Yes,Other PFAS,Aromatic,Industrial Intermediate,35853-50-0,C1=CC2=C(C(=C1)C(F)(F)F)N=C(C=C2C(=O)O)C(F)(F)F
Flurbiprofen,C12H5F6NO2,244.0899579,1,No,Not PFAS,Aromatic,Unknown,5104-49-4,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O
4'-Hydroxyflurbiprofen,C15H13FO2,260.0848725,1,No,Not PFAS,Aromatic,Metabolite,52807-12-2,CC(C1=CC(=C(C=C1)C2=CC=C(C=C2)O)F)C(=O)O
Flurbiprofen glucuronide,C15H13FO3,420.1220459,1,No,Not PFAS,Aromatic,Metabolite,CID:71316898,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O
Norfloxacin,C21H21FO8,319.1332197,1,No,Not PFAS,Aromatic,Unknown,70458-96-7,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Risperidone,C16H18FN3O3,410.2118043,1,No,Not PFAS,Aromatic,Unknown,106266-06-2,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
Aprepitant,C23H27FN4O2,534.1501881,7,Yes,Other PFAS,Aromatic,Unknown,170729-80-3,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F
(2S 3R)-2-[(1R)-1-[3 5-bis(trifluoromethyl)phenyl]ethoxy]-3-(4-fluorophenyl)morpholine,C23H21F7N4O3,439.1382264,7,Yes,Other PFAS,Aromatic,Fluorochemical / Surfactant,Unknown,C[C@H](OC[C@H]1CN(CCO1)C2=CC=C(C=C2)F)C3=CC(C(C(F)(F)F)=C3)C(F)(F)F
1-[3 5-bis(trifluoromethyl)phenyl]ethanone,C20H20F7NO2,256.0322841,6,Yes,Other PFAS,Aromatic,Fluorochemical / Surfactant,30071-93-3,CC(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
Paliperidone,C10H6F6O,426.2067189,1,No,Not PFAS,Aromatic,Unknown,144598-75-4,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
Posaconazole,C23H27FN4O3,700.3297083,2,No,Not PFAS,Aromatic,Unknown,171228-49-2,CC[C@@H]([C@H](C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5C[C@](OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F
Desoximetasone,C37H42F2N8O4,376.2049876,1,No,Not PFAS,Other,Unknown,382-67-2,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@H]1C(=O)CO)C)O)F)C
fluorometholone,C22H29FO4,376.2049876,1,No,Not PFAS,Other,Fluorochemical / Surfactant,426-13-1,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@]2([C@@]4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O
Fluocortolone,C22H29FO4,376.2049876,1,No,Not PFAS,Other,Unknown,152-97-6,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@H]3[C@H](C[C@@]2([C@H]1C(=O)CO)C)O)C)F
Emtricitabine,C22H29FO4,247.0426904,1,No,Not PFAS,Aromatic,Unknown,143491-57-0,C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F
